datetime,High,Low,Close,DI+,DI-,ADX,NetDI,NetDI_MA9,Sentiment,MACD,Signal,Histogram,MACD_Sentiment_5,MiddleBB,UpperBB,LowerBB,BB_Width,BB_Sentiment
2025-09-01 10:50:00+05:30,53858.35,53844.45,53854.3,43.39828810781171,3.605900564563236,39.20228070940143,39.79238754324847,14.72386908236252,Bullish,4.42,-6.93,11.36,Bullish,53800.092500000006,53864.00849153323,53736.17650846678,127.831983066455,Sideways
2025-09-01 10:51:00+05:30,53856.05,53840.4,53852.5,38.05927883707681,5.2671323390612335,43.80894811863256,32.792146498015576,20.643437990878184,Bullish,6.37,-4.27,10.64,Bullish,53802.5225,53870.60744288284,53734.437557117155,136.16988576568838,Sideways
2025-09-01 10:52:00+05:30,53855.1,53832.05,53836.45,36.17452135493295,8.210603829161425,48.29780862752492,27.963917525771524,24.730108927830614,Bullish,6.54,-2.11,8.65,Bullish,53804.56,53874.20633666259,53734.91366333741,139.29267332518066,Sideways
2025-09-01 10:53:00+05:30,53846.7,53825.75,53825.75,35.55917480998877,8.505247918931245,50.01188793845661,27.05392689105752,27.933500573180496,weak Bullish,5.75,-0.54,6.29,Bullish,53806.767499999994,53876.14791794865,53737.38708205134,138.76083589730843,Sideways
2025-09-01 10:54:00+05:30,53827.0,53809.05,53809.85,34.91471215351885,14.214641080313017,50.34107827032124,20.700071073205834,28.96684180353677,weak Bullish,3.79,0.33,3.47,Sideways,53808.384999999995,53876.387152442665,53740.382847557325,136.0043048853404,Sideways
2025-09-01 10:55:00+05:30,53817.4,53798.4,53804.0,33.99065905552724,17.522919910050934,48.82697094841318,16.467739145476305,28.311264488214523,Sideways,1.75,0.61,1.14,Sideways,53810.415,53875.10625134046,53745.72374865954,129.38250268092088,Sideways
2025-09-01 10:56:00+05:30,53829.2,53799.45,53826.25,35.922963930144,16.272237636689663,47.68891285080667,19.650726293454337,27.442907403654488,Sideways,1.91,0.87,1.03,Sideways,53813.49250000001,53874.79419805321,53752.1908019468,122.60339610640949,Sideways
2025-09-01 10:57:00+05:30,53837.85,53817.6,53829.3,32.67409007811072,16.569719129133716,48.57698934637562,16.104370948977007,26.061748783007975,Sideways,2.25,1.15,1.1,Sideways,53815.7675,53875.793347721905,53755.7416522781,120.05169544380624,Sideways
2025-09-01 10:58:00+05:30,53833.95,53825.1,53829.95,28.18432861580773,17.20745598895376,50.04592119553556,10.976872626853968,23.500239838451172,Sideways,2.55,1.43,1.12,Sideways,53818.23,53876.204353676505,53760.2556463235,115.94870735300356,Sideways
2025-09-01 10:59:00+05:30,53842.15,53825.0,53840.0,26.316755367956635,18.296935217470754,49.684244734187324,8.01982015048588,19.969954572588662,Sideways,3.55,1.85,1.7,Sideways,53821.655000000006,53875.98440368955,53767.32559631046,108.65880737909174,Sideways
2025-09-01 11:00:00+05:30,53864.75,53842.25,53855.15,24.71867251573415,19.015830631317815,47.74475807923079,5.702841884416333,16.9600318377443,Sideways,5.5,2.58,2.92,Sideways,53825.895,53876.47200642532,53775.317993574674,101.15401285064581,Sideways
2025-09-01 11:01:00+05:30,53855.7,53828.9,53841.6,23.88371651149532,24.016720501614476,43.893623736740174,-0.13300399011915687,13.838151669312003,Sideways,5.89,3.24,2.65,Sideways,53829.3925,53873.426306092006,53785.358693908,88.06761218400788,Sideways
2025-09-01 11:02:00+05:30,53849.7,53837.5,53848.7,23.77529790051092,22.47020994892988,40.03959946771208,1.30508795158104,10.977169564925727,Sideways,6.69,3.93,2.76,Sideways,53833.159999999996,53869.16664558547,53797.15335441452,72.01329117095156,Sideways
